time,heading,imu_heading,gps_heading,gspeed,gear
1684844493.3681724,230.9596686582501,141.64372381432162,50.99032,0.333,2
1684844493.3884702,230.97901369984433,141.66306885591584,50.99032,0.333,2
1684844493.4083474,230.97920967837615,141.66326483444766,50.99032,0.333,2
1684844493.4285223,230.9794852362867,141.66354039235821,50.99032,0.333,2
1684844493.449041,230.97970008262584,141.66375523869735,50.99032,0.333,2
1684844493.4682028,230.97157802381807,141.65563317988958,50.99032,0.333,2
1684844493.488427,230.96176705287263,141.64582220894414,50.99032,0.333,2
1684844493.5088043,230.9544696148897,141.6385247709612,50.99032,0.333,2
1684844493.528093,230.9553868726976,141.6394420287691,50.99032,0.333,2
1684844493.54849,230.94769334225683,141.63174849832834,50.99032,0.333,2
1684844493.5679882,230.937842586761,141.62189774283252,50.99032,0.333,2
1684844493.58803,230.930018452896,141.61407360896752,50.99032,0.333,2
1684844493.608001,230.9306250891905,141.614680245262,50.99032,0.333,2
1684844493.6280131,230.93101599536502,141.61507115143652,50.99032,0.333,2
1684844493.648196,230.92274736004504,141.60680251611655,50.99032,0.333,2
1684844493.6685915,230.93129085644856,141.61534601252006,50.99032,0.333,2
1684844493.6880581,230.93120115622884,141.61525631230035,50.99032,0.333,2
1684844493.7086647,230.93123823134073,141.61529338741224,50.99032,0.333,2
1684844493.7284734,230.93132563074414,141.61538078681565,50.99032,0.333,2
1684844493.7485325,230.93971173994365,141.62376689601516,50.99032,0.333,2
1684844493.7681317,230.93955952926294,141.62361468533445,50.99032,0.333,2
1684844493.788206,230.93936155250665,141.62341670857816,50.99032,0.333,2
1684844493.8079743,230.94771367240935,141.63176882848086,50.99032,0.333,2
1684844493.8283808,230.94784667495884,141.63190183103035,50.99032,0.333,2
1684844493.8478856,230.9754035222778,141.6594586783493,50.99032,0.333,2
1684844493.8683655,230.97533710268033,141.65939225875184,50.99032,0.333,2
1684844493.888001,230.97543277630155,141.65948793237305,50.99032,0.333,2
1684844493.9081511,230.97548995424853,141.65954511032004,50.99032,0.333,2
1684844493.9283676,230.98415883420162,141.66821399027313,50.99032,0.075,2
1684844493.9485996,230.98449460209375,141.66854975816526,50.99032,0.075,2
1684844493.9682558,230.99513060082904,141.67918575690055,50.99032,0.075,2
1684844493.9884536,230.9951157227337,141.6791708788052,50.99032,0.075,2
1684844494.0079825,230.99502180307212,141.67907695914363,50.99032,0.075,2
1684844494.0292554,230.9946461275069,141.67870128357842,50.99032,0.075,2
1684844494.0485227,231.0028619306787,141.6869170867502,50.99032,0.075,2
1684844494.067478,231.00247390184998,141.6865290579215,50.99032,0.075,2
1684844494.0882494,231.0025166036715,141.686571759743,50.99032,0.075,2
1684844494.1082222,231.00240149539997,141.68645665147147,50.99032,0.075,2
1684844494.1281393,231.00228638749394,141.68634154356545,50.99032,0.075,2
1684844494.1484623,231.0023269140412,141.6863820701127,50.99032,0.075,2
