time,heading,gspeed
1684827093.935296,51.01151776179,0.002
1684827093.9558446,51.01156325687151,0.002
1684827093.975504,51.011726207103834,0.002
1684827093.9955008,51.011726207103834,0.002
1684827094.0151303,51.011844041192376,0.002
1684827094.0356631,51.011844041192376,0.002
1684827094.055917,51.011844041192376,0.002
1684827094.0753386,51.0117971269344,0.002
1684827094.0951943,51.0117971269344,0.002
1684827094.1163242,51.01174983408791,0.002
1684827094.1354656,51.0117021626541,0.002
1684827094.1554756,51.01165411263432,0.002
1684827094.1751592,51.011768351508266,0.002
1684827094.1957517,51.01188259074206,0.002
1684827094.2158372,51.011832364251376,0.002
1684827094.2350783,51.01200664284286,0.002
1684827094.2556965,51.012176948248566,0.002
1684827094.2758026,51.01217639886579,0.002
1684827094.2954524,51.01222863139833,0.002
1684827094.3158774,51.01227868742936,0.002
1684827094.3355236,51.012159968166884,0.002
1684827094.3554492,51.01220529200381,0.002
1684827094.375344,51.01214408649247,0.002
1684827094.3953943,51.012020539368024,0.002
1684827094.4157972,51.012059852919094,0.002
1684827094.4358838,51.0120969896611,0.002
1684827094.4554179,51.01213194954414,0.002
1684827094.4758139,51.0119992201374,0.002
1684827094.4958642,51.01219533853933,0.002
1684827094.5155296,51.01222376755709,0.002
1684827094.5358708,51.01225001952719,0.002
1684827094.555163,51.012274094405,0.027
1684827094.5757885,51.01246481962059,0.027
1684827094.5954447,51.01239045554752,0.027
1684827094.6152549,51.01257938308649,0.027
1684827094.6352813,51.01250284154702,0.027
1684827094.6554296,51.012425921228726,0.027
1684827094.6752737,51.022818224557,0.027
1684827094.6953611,51.02274061586766,0.027
1684827094.7153735,51.02275257783867,0.027
1684827094.7356234,51.02276236234178,0.027
1684827094.756011,51.02285141341264,0.027
1684827094.7751617,51.012388313109625,0.027
1684827094.7957244,51.01247648236139,0.027
1684827094.8159025,51.012740991402694,0.027
1684827094.8355324,51.012654602984384,0.027
1684827094.8552737,51.01265420692519,0.027
1684827094.8754148,51.023036089890496,0.027
1684827094.895518,51.02320700084837,0.027
1684827094.9153378,51.023116845401375,0.027
1684827094.9349203,51.02293539674818,0.027
1684827094.955161,51.02284410356464,0.027
1684827094.9758027,51.022833390155995,0.027
1684827094.9956663,51.022567948724856,0.027
1684827095.0157197,51.02230458829277,0.027
1684827095.0359232,51.02228838119984,0.027
1684827095.05484,51.01148007312196,0.027
1684827095.075897,51.011460881890315,0.027
1684827095.0951028,51.011460881890315,0.027
1684827095.1152296,51.0117787830211,0.027
1684827095.135416,51.01202612675624,0.027
1684827095.1556962,51.011950549126794,0.027
1684827095.175259,51.02249668494687,0.027
1684827095.1954565,51.02230045703007,0.027
1684827095.2152178,51.022447985786044,0.027
1684827095.23559,51.030991589369904,0.027
1684827095.2553518,51.03061232053116,0.027
1684827095.2755945,51.030406164701475,0.027
1684827095.2953465,51.0300653220645,0.027
1684827095.3153734,51.03002839945893,0.027
1684827095.335544,51.02992451316078,0.027
1684827095.3559058,51.029884132387906,0.027
1684827095.3756964,51.029715601974885,0.027
1684827095.3956633,51.02977858728943,0.027
1684827095.4159403,51.029672662681236,0.027
1684827095.4353998,51.02973474835133,0.027
1684827095.455911,51.029967543888944,0.027
1684827095.475622,51.02979683412764,0.027
1684827095.495262,51.03853100963053,0.027
1684827095.5162964,51.029967543888944,0.027
1684827095.5356317,51.030030529640754,0.027
1684827095.555725,51.030030529640754,0.31
1684827095.5758388,51.02992100599886,0.31
1684827095.595579,51.03010726460229,0.31
1684827095.6157346,51.029649544827095,0.31
1684827095.6357973,51.0295376034459,0.31
1684827095.6555288,51.02936769541603,0.31
1684827095.675871,51.02053365567721,0.31
1684827095.6954093,51.01011764620432,0.31
1684827095.7151427,51.01011764620432,0.31
1684827095.73536,51.02025778090061,0.31
1684827095.7548208,51.02009408694241,0.31
1684827095.7750907,51.019983989218275,0.31
1684827095.7952836,51.02897626803727,0.31
1684827095.8145964,51.02087073355466,0.31
1684827095.8352988,51.021447892500106,0.31
1684827095.8549354,51.02977155232878,0.31
1684827095.8750505,51.01103579593993,0.31
1684827095.8954105,51.02994648012967,0.31
1684827095.9154317,51.03006254098557,0.31
1684827095.9355671,51.02156395498551,0.31
1684827095.9559011,51.021503682053805,0.31
1684827095.9754834,51.02115603005109,0.31
1684827095.995803,51.02919920762372,0.31
1684827096.0155356,51.03781309593131,0.31
1684827096.0350387,51.03753165717802,0.31
1684827096.0557456,51.04614397663798,0.31
1684827096.075263,51.056218854691366,0.31
1684827096.095278,51.05643922616147,0.31
1684827096.115902,51.064775695377335,0.31
1684827096.1356723,51.065166594740106,0.31
1684827096.1559913,51.06522151074756,0.31
